Titolo;Coordinate;Descrizione
Kota Tua;-6.138564771606784, 106.81387072334091;Accesso allingresso ai singoli musei). Costi Musei: 15.000 IDR per gli stranieri .Davanti a te (Direzione Sud)Vedi il Museo di Storia di Giakarta. eedificio piuex municipio. Osserva la struttura massiccia in pietra: all il Museo Wayang. Nota la facciata stretta tipica delle case di Amsterdam. Qui sono esposti i famosi Wayang Kulit (marionette in pelle). Proprio accanto, inizia Jalan Pintu Besar Utara, una delle vie di accesso principali alla piazza.Alla tua sinistra (Direzione Est)Trovi il Museo delle Belle Arti e della Ceramica. Lo riconosci subito dalle colonne neoclassiche bianche. Alledificio, verso limbocco di Jalan Pos Kota.Dietro di te (Direzione Nord)Hai il Café Batavia, un edificio a due piani in legno e mattoni con grandi finestre che si affacciano sulla piazza. Se prosegui dritto lasciandoti il caffe verso i resti delle antiche mura della citta avanti, al ponte levatoio olandese (Hoenderpasarbrug). Guarda a terra: il pavimento della piazza e' irregolare. Se vuoi spostarti velocemente verso il porto di Sunda Kelapa (a nord), puoi noleggiare una bici Ontel per circa 20.000 - 50.000 IDR per 30 minuti.
Glodok Chinatown Market;-6.142788639031194, 106.81420863557638;Benvenuti a Glodok, la Chinatown piuIndonesia. Immagina di trovarti allinizio di Jalan Pancoran. Accesso allesplorazione e alla Pantjoran Tea House circa 40.000 IDR. Davanti a te (Direzione Sud - Jalan Pancoran): Ti trovi allinizio, nota lingresso di Petak Enam, un complesso in stile tradizionale situato in un cortile restaurato, ideale per il cibo di strada. Poco piu antico di Giakarta, dove l densa di incenso. Alla tua sinistra (Direzione Est): Lungo il lato sinistro della strada principale vedrai i grandi centri commerciali dell piu stretti!
Dharma Bakti Temple;-6.144474659598047, 106.81264433360184;Ti trovi all antico di Giakarta, risalente al 1650, situato nel cuore dei vicoli di Glodok su Jalan Kemenangan III. Accesso all consuetudine lasciare una piccola offerta libera nelle cassette rosse o acquistare incenso per sostenere il tempio). Costi: Laltare principale avvolto da una fitta nuvola di fumo azzurrognolo. L dominata dal rosso e dall, tra cui la principale e e longevitaincenso in metallo e statue di divinitaeingresso che ti separa dal caos di Jalan Kemenangan. Appena fuori dal cancello, il vicolo ealtare. Nota il soffitto annerito dal fumo dei secoli: l stato parzialmente ricostruito dopo un incendio nel 2015, ma conserva ancora l'anima e i pilastri originali.
Grand Mosque of Bandung;-6.921719217419142, 107.60614376422;"Ti trovi nel cuore di Bandung, esattamente sopra larea: Gratuito (per salire sulla torre campanaria si paga un piccolo biglietto). Costi: L libero; larchitettura fonde elementi mediorientali con motivi decorativi locali. Noterai latmosfera di grande solennita aperta al pubblico: dalla sua sommita e sulle montagne circostanti. Tutto intorno a te, il prato sintetico eatmosfera comunitaria unica. Dietro di te (Direzione Est): Si apre la Alun-Alun Bandung, la piazza principale della citta frequentate: vedrai laccesso potrebbe essere limitato durante i momenti di preghiera. La sensazione del prato sintetico sotto i piedi nudi e' una delle esperienze caratteristiche di questo luogo."
Saung Angklung Udjo;-6.898016639985629, 107.65525419463611;Ti trovi allarea: A pagamento. Costi: Il biglietto per lo spettacolo pomeridiano costa circa 100.000 - 150.000 IDR per i turisti stranieri (include un drink di benvenuto e un piccolo angklung ricordo). Davanti a te (Direzione Nord): Si trova il grande anfiteatro in legno e bambu qui che si svolgono le performance: vedrai un palco centrale basso circondato da gradinate circolari. Sul palco sono disposti i telai in bambu a mano per creare nuovi strumenti. Alla tua sinistra (Direzione Ovest): Vedrai levoluzione dellarea ristoro dove puoi gustare teeingresso che attraversa un giardino rigoglioso con alte piante di bambu. Consiglio Audioguida: Durante lo spettacolo sarai invitato a suonare: riceverai un angklung marchiato con una nota specifica. Segui i gesti del direttore d'orchestra per scuotere lo strumento al momento giusto insieme agli altri spettatori per creare una melodia collettiva.
Borobudur;-7.6079396922112545, 110.20382866146281;"Ti trovi ai piedi dell grande del mondo, situato a Magelang, vicino a Yogyakarta. Accesso allaccesso limitato per salire sulla struttura del tempio richiede un biglietto speciale da circa 455.000 IDR (include guida obbligatoria e calzature speciali ""upanat""). Davanti a te (Direzione Ovest): Si erge la maestosa piramide a gradoni costruita in pietra vulcanica scura. La struttura e circondato da una vasta area verde curata e, in lontananza, puoi scorgere la sagoma dei vulcani Merapi e Merbabu. Lungo il perimetro delle terrazze quadrate, vedrai centinaia di nicchie che ospitano statue di Buddha seduto, molte delle quali rivolte verso la giungla circostante. Dietro di te (Direzione Est): Si trova laccesso che porta ai musei interni e allinterno di ognuna si trova una statua di Buddha. La stupa centrale piuilluminazione suprema. Cerca di visitare il sito all'alba per godere della nebbia che si alza dalla valle."
Pawon Temple;-7.606131076955436, 110.21959392975188;"Ti trovi davanti al Candi Pawon, un piccolo ma elegante tempio buddista dellarea: A pagamento. Costi: Il biglietto costa circa 20.000 IDR per i turisti stranieri (spesso eunica struttura del tempio, costruita in pietra vulcanica scura. Rispetto al maestoso Borobudur, questo tempio e celesti e lunica porta d incastonato in un piccolo cortile recintato, circondato dalle case del villaggio locale. Noterai che il tempio earia e la luce allingresso al sito e la strada che collega Borobudur a Mendut. Alle tue spalle vedrai spesso qualche venditore locale e il tranquillo ritmo della vita rurale giavanese. Consiglio Audioguida: Osserva bene il tetto; e' composto da una serie di piccole stupa che richiamano lo stile di Borobudur, a dimostrazione del legame spirituale tra i due siti. Si dice che questo tempio fungesse da luogo di purificazione prima di raggiungere il tempio principale."
Mendut Temple;-7.604790805521122, 110.23008355945865;Ti trovi di fronte al Candi Mendut, il piuarea: A pagamento. Costi: Il biglietto costa circa 20.000 IDR per i turisti stranieri (spesso acquistato insieme a quello di Pawon). Davanti a te (Direzione Nord-Ovest): Ammiri la struttura principale del tempio, che poggia su unaccesso. All grande e. Alla tua destra (Direzione Nord-Est): Si estende il rigoglioso giardino del sito, dominato da un maestoso e antico albero di Banyan con radici aeree che scendono fino al suolo, creando un un luogo di meditazione attivo dove noterai statue di Buddha moderne, laghetti con fiori di loto e, spesso, monaci in tunica zafferano che camminano tra i vialetti ordinati. Dietro di te (Direzione Sud-Est): Si trova il cancello d unico perché le sue statue originali sono ancora perfettamente conservate al suo interno.
Ngasem Traditional Market;-7.808144210790886, 110.36001203771305;"Ti trovi allarea: Gratuito (si paga solo cio che si acquista). Costi: L libero; un tipico spuntino locale (jajan pasar) costa tra 2.000 e 10.000 IDR, mentre un pasto completo nei dintorni circa 20.000-40.000 IDR. Davanti a te (Direzione Nord): Si apre l il posto ideale per osservare la vita quotidiana degli abitanti di Yogyakarta che fanno la spesa la mattina presto. L un misto di profumo di spezie e caffearea dedicata allo street food locale, dove molte donne preparano il ""Gudeg"" (piatto tipico a base di jackfruit) e dolci tradizionali. Proseguendo in questa direzione per pochi metri, si arriva allAcqua), i cui resti delle mura si fondono con le case del quartiere. Alla tua sinistra (Direzione Ovest): Vedrai i parcheggi per i motorini e i tipici ""Becak"" (riscio a pedali) in attesa dei clienti. Lungo la strada esterna si trovano piccoli negozi di artigianato e homeware locale. Un tempo questa zona era famosa come mercato degli uccelli, prima che venisse spostato altrove, ma leuscita verso Jalan Polowijan che conduce verso il Palazzo del Sultano (Kraton). Alle tue spalle si estende il fitto reticolo di vicoli del villaggio fortificato, dove le case dei residenti convivono con piccoli laboratori di batik e gallerie d. Non dimenticare di provare lingresso."
Taman Sari Tourist Village;-7.8099626761331935, 110.35900361494427;"Ti trovi nel cuore del Taman Sari Tourist Village (Kampung Wisata Taman Sari), linterno e intorno alle mura del leggendario ""Castello sullarea: Gratuito per camminare nel villaggio (si paga il biglietto solo per entrare nel sito storico recintato). Costi: L una piccola tassa per lingresso principale del complesso storico di Taman Sari. Se sei giainterno, avrai davanti a te le iconiche piscine color turchese circondate da imponenti strutture in pietra color sabbia e torrette di osservazione. Fuori dal sito, i vicoli sono decorati con murales colorati che raccontano la storia e le tradizioni locali. Alla tua destra (Direzione Est): Si snoda un labirinto di stradine strette e pulite dove vivono gli artigiani del batik. Troverai numerosi laboratori e piccole gallerie dove puoi vedere gli artisti allantico lago artificiale (Pulo Kenongo) che un tempo circondava il palazzo. Dietro di te (Direzione Sud): Ti lasci alle spalle il Mercato di Ngasem e l tipici e homestay accoglienti ricavate dalle antiche abitazioni dei servitori della corte. Consiglio Audioguida: Perditi volutamente tra i vicoli: il villaggio earte a cielo aperto. Cerca i passaggi sotterranei che collegano le varie seose del palazzo; un tempo servivano al Sultano per spostarsi non visto. Ricorda che e bene mantenere un tono di voce moderato."
Alun Alun Kidul;-7.811963293917376, 110.36322683174224;Ti trovi al centro di Alun-Alun Kidul Yogyakarta, la piazza meridionale del complesso del Palazzo Reale, situata a sud del Kraton. Accesso allesplorazione e qui che storicamente il Sultano osservava le esercitazioni dei soldati. Noterai un grande arco e una struttura cerimoniale aperta. Al centro della piazza (Proprio davanti a te): Svettano i due leggendari alberi di banyan (Ficus) gemelli, circondati da una bassa recinzione quadrata. Secondo la tradizione locale chiamata Masangin, se riesci a camminare bendato tra i due alberi partendo dal lato sud, il tuo desiderio si avverera circondata da un perimetro di alberi e strade animate. Di sera, questuscita verso il quartiere di Plengkung Gading, una delle antiche porte fortificate della citta dopo il tramonto, quando le luci degli Odong-odong e latmosfera magica e caotica tipica di Yogyakarta. Se vuoi provare il Masangin, ci sono molti noleggiatori locali che ti forniranno una benda per pochi spiccioli.
Prambanan;-7.752016013492026, 110.49130796620798;Ti trovi al centro del complesso di Prambanan, il piu dellarea: A pagamento. Costi: Per i turisti stranieri il biglietto costa circa 375.000 IDR (o circa 675.000 IDR se acquistato in combinazione con Borobudur). Davanti a te (Direzione Est): Svettano le imponenti guglie del complesso principale, il Loro Jonggrang. La torre centrale, alta 47 metri, e affiancata dal tempio di Brahma a sud e da quello di Vishnu a nord. Osserva le pietre scure finemente lavorate e le ripide scale che portano alle celle interne dove sono custodite le statue delle divinitaidea della vastita lontano, verso lingresso principale e laperto che ospita il celebre balletto Ramayana nelle serate di luna piena. Consiglio Audioguida: Cammina intorno al tempio di Shiva seguendo il senso orario per ammirare i bassorilievi che narrano larchitettura a guglie (tipica indu') sia radicalmente diversa dalla struttura a gradoni del buddista Borobudur.
Lumbung Temple;-7.748102609992718, 110.4929528582718;"Ti trovi di fronte al Candi Lumbung, un tempio buddista del IX secolo situato allarea: A pagamento (incluso nel biglietto dintero parco). Davanti a te (Direzione Est): Vedi il tempio principale circondato da ben 16 templi minori chiamati Perwara. Il nome ""Lumbung"" in giavanese significa ""granaio"", a causa della forma caratteristica della struttura che ricorda un deposito di riso. Sebbene il tetto sia parzialmente crollato, puoi ancora ammirare i dettagli delle nicchie che un tempo ospitavano statue di Buddha. Alla tua destra (Direzione Sud): In lontananza svettano le alte guglie del complesso induarea. Alla tua sinistra (Direzione Nord): Il sentiero prosegue verso il tempio di Bubrah e, piu dominato da prati verdi e alberi tropicali che offrono ombra lungo il cammino. Dietro di te (Direzione Ovest): Si trova luscita principale e il museo. Consiglio Audioguida: Osserva attentamente le pareti esterne: sono decorate con figure di figure celesti e motivi floreali molto simili a quelli del tempio di Sewu. Nonostante sia meno visitato rispetto al complesso principale, il Candi Lumbung offre un silenziosa e intima per scattare fotografie senza la folla."
Bubrah Temple;-7.7464875436926, 110.49296373291821;"Ti trovi di fronte al Candi Bubrah, un affascinante tempio buddista del IX secolo situato all strada tra il tempio di Lumbung e il complesso di Sewu. Accesso allingresso del Parco Archeologico di Prambanan). Costi: Il biglietto per i turisti stranieri costa circa 375.000 IDR (valido per tutto il parco). Davanti a te (Direzione Est): Ammiri l stata oggetto di un meticoloso restauro completato nel 2017. Il nome ""Bubrah"" significa ""distrutto"" o ""in rovina"" in giavanese, poiché per secoli il sito eorizzonte, vedrai le punte dei templi di Lumbung e, piu di Prambanan. Alla tua sinistra (Direzione Nord): Il sentiero prosegue per poche centinaia di metri verso il maestoso Candi Sewu, il secondo tempio buddista piuIndonesia dopo Borobudur. Dietro di te (Direzione Ovest): Si estende la vasta spianata erbosa del parco archeologico, con i sentieri pedonali solitamente percorsi dai visitatori a piedi o con le biciclette a noleggio. Consiglio Audioguida: Avvicinati per osservare la precisione dei giunti tra le pietre restaurate: e."
Badut Temple;-7.957829941246795, 112.5986883259508;"Ti trovi davanti al Candi Badut, il tempio piuarea: A pagamento. Costi: Il biglietto costa circa 10.000 - 15.000 IDR (prezzo soggetto a variazioni locali). Davanti a te (Direzione Ovest): Ammiri la struttura principale del tempio, costruita in pietra andesite scura. A differenza dei templi slanciati di epoche successive, il Candi Badut ha una forma piuaccesso che conduce alla cella principale (garbhagriha), dove un tempo era custodito un lingam e una yoni, simboli di Shiva. Alla tua destra e alla tua sinistra (Direzione Nord e Sud): Il tempio poggia su una base elevata circondata da un prato verde ben curato. Sulle pareti esterne puoi notare nicchie che un tempo ospitavano statue divine, incorniciate da intagli di ""Kala"" (testa di demone senza mascella inferiore) sopra le aperture, con un aspetto meno minaccioso rispetto a quelli dei templi piuingresso al sito e larea dove un tempo sorgevano probabilmente altri edifici del complesso. Consiglio Audioguida: Osserva i dettagli della base: e un luogo molto pacifico, ideale per osservare l piu' arcaica lontano dalle grandi folle."
Alun Alun Malang;-7.982617163247292, 112.63072868768022;"Ti trovi esattamente al centro di Alun-Alun Malang, il cuore verde e sociale della cittaarea: Gratuito. Costi: L libera. Lo street food locale nei dintorni costa mediamente tra 10.000 e 25.000 IDR, mentre un giro sui tipici riscio puo essere contrattato per circa 20.000-40.000 IDR. Davanti a te (Direzione Nord): Si estende lacqua. Vedrai stormi di piccioni che i visitatori amano nutrire e molte aree gioco per bambini sotto leredita. Poco piu antichi di Malang. Alla tua sinistra (Direzione Ovest): Vedrai l), caratterizzata da una combinazione di architettura giavanese e araba. Tra la moschea e la piazza si trova spesso un vivace viavai di persone e venditori ambulanti. Dietro di te (Direzione Sud): Si trova il perimetro di Jalan Merdeka Selatan, dove hanno sede importanti uffici governativi e storiche banche ospitate in edifici dell uno dei posti migliori per provare il cibo tipico di strada; cerca i venditori di ""Cilok"" o ""Bakso Malang"" nelle vicinanze. La piazza e' particolarmente suggestiva la sera, quando le luci della moschea e della cattedrale creano un bellissimo contrasto architettonico."
Tumpak Sewu Waterfall;-8.231398000393275, 112.91754416818469;Ti trovi sullarea: A pagamento. Costi: Lacqua si gettano lungo una parete semicircolare ricoperta di vegetazione lussureggiante, creando lacqua infinita. Dal punto panoramico superiore, vedrai la nebbia salire dal fondo del canyon, mentre nelle mattine limpide la cima fumante del Monte Semeru svetta maestosa proprio dietro le cascate. Alla tua destra (Direzione Nord): Si trova il sentiero che scende verso la base. La discesa dura circa 30-45 minuti ed e, passaggi su rocce scivolose e tratti in cui camminerai direttamente nel flusso dell un sistema di grotte e cascate dorate formate da depositi di zolfo e calcare, dove lingresso principale del lato Lumajang (Sidomulyo), con laria creato dalla cascata nebulizza l'acqua ovunque.
Monte Bromo;-7.942307853643189, 112.95290828562668;"Ti trovi sul bordo del cratere del Monte Bromo, un vulcano attivo situato allarea: A pagamento. Costi: Labisso fumante del cratere attivo; sentirai il boato profondo della terra e l Pura Luhur Poten che sorge solitario ai piedi del vulcano, dove i Tenggeresi celebrano ancora oggi i loro riti. Alla tua sinistra (Direzione Sud): Svettano le cime gemelle del Monte Batok, un vulcano spento perfettamente conico e ricoperto di vegetazione che contrasta con la nuditaorizzonte, troneggia il maestoso Monte Semeru, il vulcano piuarea di sosta delle Jeep. Alle tue spalle vedrai i fedeli locali e i cavalli che trasportano i turisti lungo il pendio sabbioso. Consiglio Audioguida: Il momento iconico ealba vista dal punto panoramico di Penanjakan prima di scendere nel cratere. Porta vestiti pesanti perché la temperatura puo scendere vicino allo zero prima del sorgere del sole. Se soffri l'odore dello zolfo, usa una mascherina o una sciarpa umida."
Tempio di Tanah Lot;-8.62121563751631, 115.08680547491194;Ti trovi sulla costa rocciosa di fronte al maestoso Tempio di Tanah Lot, uno dei templi marini più sacri e iconici di Bali, situato a Tabanan. Accesso allingresso per i turisti stranieri costa circa 75.000 IDR per gli adulti e 40.000 IDR per i bambini. Il parcheggio per le auto costa circa 5.000 IDR. Davanti a te (Direzione Sud-Ovest): Vedi il tempio principale arroccato su una spettacolare formazione rocciosa che si protende nellacqua dolce considerata sacra e custodita dai sacerdoti. Se la marea è alta, lo scoglio viene completamente circondato dalle onde, trasformando il tempio in unacqua del mare scorre incessantemente. Alla tua sinistra (Direzione Sud-Est) La costa si sviluppa con ampi giardini terrazzati e punti panoramici rialzati dotati di caffetterie e piccoli ristoranti da cui i visitatori attendono il tramonto sorseggiando una bibita o un cocco fresco. Dietro di te (Direzione Nord-Est)Si trova il vasto mercato daperto che attraversi per entrare e uscire dal sito. È un labirinto di bancarelle che vendono artigianato balinese, sarong, abbigliamento estivo, souvenir tradizionali e street food locale. Consiglio Audioguida: Pianifica la visita nel tardo pomeriggio per ammirare il celebre tramonto, quando la silhouette del tempio si staglia contro il cielo infuocato. Ricorda che larea circostante offre scorci fotografici straordinari. Controlla sempre gli orari delle maree prima di avvicinarti alla base della roccia.
Suluban Beach;-8.815689119134339, 115.08854727538882;"Ti trovi allarea:Gratuito (si paga solo il parcheggio). Il parcheggio per lo scooter costa circa 5.000 IDR. Limponente apertura della caverna naturale, vedi le onde dellalta marea, larea del parcheggio superiore. La risalita può essere faticosa sotto il sole, ma è punteggiata da piccoli warung dove fermarsi a bere un cocco fresco. Questa spiaggia non è la classica distesa di sabbia per nuotare in tranquillità; è un paradiso per i surfisti e gli amanti dei paesaggi drammatici. Controlla accuratamente le tabelle delle maree prima di scendere: il momento migliore per esplorare la sabbia all'interno della grotta è durante la bassa marea, mentre il tardo pomeriggio offre tramonti indimenticabili dalle scogliere sovrastanti."
Tempio Saraswati;-8.506071516552025, 115.26107210647486;Ti trovi di fronte al maestoso Tempio Saraswati, conosciuto anche come il Palazzo dellarea: A pagamento. Limponente padiglione principale del tempio, finemente scolpito con pietra vulcanica grigia e arricchito da portali dorati. Il tempio è dedicato a Dewi Saraswati, la dea induista della conoscenza, della letteratura e delle arti. Per raggiungerlo, cammini lungo una passerella centrale che attraversa un magnifico e vasto laghetto interamente ricoperto di fiori di loto rosa e foglie verdi galleggianti. Alla tua destra (Direzione Est) Il laghetto è fiancheggiato da vialetti pedonali e giardini tropicali ben curati. Lungo questo lato si trova il celebre Lotus Café, un ristorante storico dove i visitatori possono sedersi allaltro lato dello stagno dei loto e le mura di cinta del complesso. Dietro la vegetazione si trovano piccoli negozi di artigianato locale e gallerie darea sacra con le stradine interne di Ubud.Dietro di te (Direzione Sud): Ti lasci alle spalle larteria stradale principale della cittadina. Proprio a pochi passi alle tue spalle si trovano il Palazzo di Ubud (Puri Saren Agung) e il vivace mercato dellarea interna dell'altare principale è accessibile solo ai fedeli per le preghiere. Se rimani la sera, lo sfondo del tempio illuminato rende lo spettacolo di danza tradizionale eccezionalmente suggestivo. 
Campuhan Ridge Walk;-8.503530208145817, 115.25474747409824;"Ti trovi allarea:Gratuito.Lacqua e, guardando oltre la vallata, puoi scorgere i complessi residenziali, i resort e le ville di Ubud perfettamente integrati nella foresta tropicale. Alla tua sinistra (Direzione Ovest): Il panorama si affaccia sulla vallata del fiume Wos. Lungo questo lato la vegetazione è densa e selvaggia, offrendo uno spaccato perfetto della natura incontaminata dellombra; camminare nelle ore centrali della giornata può essere estremamente faticoso. Porta con te una bottiglia d'acqua e la macchina fotografica per catturare la nebbia mattutina che si solleva dalle vallate. "
Risaia terrazzata di Tegallalang;-8.432101531206984, 115.2790828675534;Ti trovi su uno dei punti panoramici rialzati che si affacciano sulla spettacolare Risaia terrazzata di Tegallalang, uno dei paesaggi più iconici e fotografati di Bali, situato a circa 20 minuti a nord di Ubud. Accesso allingresso costa circa 25.000 IDR per gli adulti. Per fare un giro sulle famose altalene panoramiche o sulla zipline nella giungla sono richiesti supplementi che variano tra 100.000 e 250.000 IDR. Il parcheggio per lo scooter costa circa 5.000 IDR. Davanti a te (Direzione Est) Si apre una profonda e verdissima vallata interamente modellata a terrazzamenti che seguono le curve naturali del terreno. Ammiri lo storico sistema di irrigazione tradizionale balinese, il *Subak*, con laltro. Lungo i sentieri di terra tra le piantagioni vedrai i contadini locali al lavoro e i turisti che scendono ed esplorano i vari terrazzi artificiali. Alla tua destra (Direzione Sud)  La vallata si sviluppa con altri ripidi pendii coltivati, intervallati da alte palme da cocco e banani. Lungo la cresta della collina si concentrano numerosi caffè alluccello, molto popolari sui social network. Dietro di te (Direzione Ovest) Ti lasci alle spalle la trafficata via principale, Jl. Raya Tegallalang, che corre lungo la cima della collina. Questa strada è un susseguirsi continuo di gallerie datmosfera magica e la temperatura è ancora piacevole per camminare. Indossa scarpe comode con una buona aderenza, poiché i sentieri di terra possono essere molto fangosi e scivolosi a causa dell'irrigazione. 
Leke Leke Waterfall;-8.366889762494495, 115.1980947333387;Ti trovi alla base della spettacolare Leke Leke Waterfall, una gemma nascosta nel cuore della giungla di Tabanan, a Bali. **Accesso allingresso costa circa 50.000 IDR per i visitatori stranieri. Il parcheggio per lo scooter è generalmente incluso o richiede una piccola mancia di circa 2.000 IDR. Davanti a te (Direzione Nord): Ammiri la cascata, un velo dinterno di una stretta fenditura rocciosa. La parete è interamente ricoperta di muschio e piante tropicali lussureggianti, creando unacqua è limpida ma piuttosto fresca, perfetta per rinfrescarsi dopo la camminata. Alla tua destra e alla tua sinistra (Direzione Est e Ovest) Sei circondato dalle alte pareti del canyon roccioso che racchiudono la cascata. Lungo lo spiazzo davanti allingresso principale: è una piacevole passeggiata che attraversa ponti di bambù sospesi, piantagioni locali di frutta e un rigoglioso giardino tropicale ben curato. Consiglio Audioguida Rispetto ad altre cascate di Bali, Leke Leke è più protetta dal vento grazie alla sua posizione incassata nel canyon, il che rende più facile scattare foto senza che l'obiettivo si bagni continuamente di vapore. Il sentiero per scendere è attrezzato con corrimano, ma può diventare scivoloso se ha piovuto di recente, quindi indossa scarpe con una buona aderenza. 
Tukad Cepung Waterfall;-8.4416393174259, 115.38657418900308;Ti trovi allora di auto da Ubud. Accesso allingresso costa circa 15.000 - 20.000 IDR per i turisti stranieri. Il parcheggio per gli scooter costa circa 2.000 IDR, mentre le consumazioni nei warung lungo il sentiero sono molto economiche. Davanti a te (Direzione Nord):** Ammiri la cascata che precipita da uninterno di una grotta circolare aperta sulla sommità. Se visiti il sito nelle ore centrali della giornata, vedrai i raggi del sole penetrare dallacqua e le pareti rocciose circostanti. Alla tua destra e alla tua sinistra (Direzione Est e Ovest) Sei completamente racchiuso dalle maestose pareti di roccia arenaria della gola, modellate nei secoli dallo scorrere dellacqua limpida e ciottoli, e lo spazio interno crea unacqua bassa del torrente che scorre sul fondo della gola. **Consiglio Audioguida:** Il momento perfetto per catturare i famosi raggi di luce va dalle 10:00 alle 12:00, a seconda della stagione. Per entrare nella grotta dovrai camminare con lacqua. 
Tempio madre di Besakih;-8.373563021571282, 115.45239273973345;Ti trovi ai piedi dellarea:** A pagamento.  Il biglietto daccompagnamento di una guida locale. Davanti a te (Direzione Nord-Est) Si eleva la monumentale scalinata di pietra che conduce al *Pura Penataran Agung*, il santuario principale del complesso. Davanti ai tuoi occhi si staglia il grandioso portale spaccato (*Candi Bentar*), oltre il quale si intravedono le caratteristiche torri santuario dal tetto di paglia scura a più livelli (*meru*), disposte su terrazze che sembrano arrampicarsi verso il cielo. Nelle giornate limpide, la gigantesca e sacra sagoma del Monte Agung troneggia proprio alle spalle del tempio, creando uno scenario mistico di rara potenza. Alla tua destra (Direzione Sud-Est):il complesso si estende con altri santuari minori e padiglioni dedicati alle diverse divinità e clan balinesi. Camminando lungo i sentieri laterali potrai notare il viavai costante di fedeli vestiti con abiti tradizionali bianchi, che trasportano elegantemente sulla testa ricche ceste di offerte piene di fiori, frutta e incenso. **Alla tua sinistra (Direzione Nord-Ovest):** La vista spazia sui complessi templari adiacenti che compongono la struttura monumentale (in totale sono ben 23 templi separati ma collegati). Più in basso si sviluppano i centri di accoglienza per i pellegrini e le aree destinate alle grandi cerimonie religiose che si tengono ciclicamente durante laccesso pedonale fiancheggiata da negozietti di artigianato, piccoli ristoranti tradizionali (*warung*) e venditori di souvenir. Volgendo lo sguardo allaccesso allintera architettura e assorbire l'incredibile energia del luogo. Il momento migliore per visitarlo è la mattina presto, prima che arrivino i bus turistici e che le nuvole avvolgano la cima del vulcano.
Tirta Gangga;-8.411233479503908, 115.58718123740822;Ti trovi nel mezzo dello splendido giardino acquatico di Tirta Gangga, un antico palazzo reale situato nella reggenza di Karangasem, nella parte orientale di Bali. **Accesso allingresso per i visitatori stranieri costa circa 50.000 IDR. Se desideri fare il bagno nelle piscine pubbliche dedicate allingresso puoi acquistare del cibo per i pesci per circa 5.000 IDR a sacchetto. Davanti a te (Direzione Nord):** Ammiri la grande piscina principale, punteggiata da eleganti statue in pietra che raffigurano divinità e figure del folklore balinese. Sulla superficie dellacqua, circondati da centinaia di enormi carpe koi coloratissime che nuotano in attesa di cibo. Poco più avanti svetta la maestosa fontana a undici livelli, che ricorda la forma di un loto e rappresenta il fulcro architettonico del palazzo. **Alla tua destra (Direzione Est):** Si estendono giardini terrazzati ben curati, prati verdi e ponticelli in pietra decorati in stile tradizionale che collegano le varie sezioni del parco. Sullo sfondo si notano le rinfrescanti piscine balneabili, dove lacqua minori e canali decorativi, incorniciati da una fitta vegetazione tropicale, grandi alberi di banyan e imponenti mura in pietra scolpita. Dietro di te (Direzione Sud):** Ti lasci alle spalle lideale è arrivare la mattina presto, prima delle 9:00. 
Penataran Agung Lempuyang Temple;-8.3919094816663, 115.63154118526526;"Ti trovi sul piazzale inferiore del **Pura Penataran Agung Lempuyang**, uno dei templi più antichi e venerati di Bali, situato sul monte Lempuyang nella reggenza di Karangasem. Accesso all'area: A pagamento. L'ingresso per i turisti stranieri costa circa 55.000 IDR (incluso il noleggio del sarong obbligatorio). Per raggiungere il tempio dal parcheggio a valle è necessario utilizzare la navetta ufficiale al costo di circa 45.000 IDR a persona (andata e ritorno). **Davanti a te (Direzione Ovest):** Si erge la celebre *Porta del Paradiso* (*Candi Bentar*), un maestoso portale spaccato in pietra bianca che incornicia perfettamente il cielo. Nelle giornate limpide, la gigantesca sagoma del vulcano Monte Agung si staglia esattamente al centro del portale, creando uno degli scenari più fotografati al mondo. **Alla tua destra (Direzione Nord):** Potrai ammirare le tre imponenti scalinate cerimoniali in pietra, decorate con lunghi corpi di serpenti *Naga* finemente scolpiti, che conducono ai cortili superiori del santuario. La scalinata centrale è considerata sacra ed è riservata esclusivamente ai sacerdoti e ai fedeli che portano le offerte. **Alla tua sinistra (Direzione Sud):** Si trova l'area coperta dove i visitatori siedono all'ombra in attesa del proprio turno numerato per scattare la celebre fotografia sotto il portale. Accanto a te vedrai i ragazzi locali dello staff che utilizzano un piccolo specchio sotto la lente dello smartphone per creare il famoso effetto ""riflesso d'acqua"" sulla foto. **Dietro di te (Direzione Est):** La vista si apre sulla vallata sottostante e sulle foreste che ricoprono i fianchi del monte Lempuyang. Voltandoti indietro, nei giorni di cielo sereno, lo sguardo può spingersi oltre la costa fino al profilo del mare e delle isole vicine. **Consiglio Audioguida:** Questo è un luogo di culto estremamente sacro per gli induisti balinesi. È fondamentale indossare il sarong, mantenere le spalle coperte e non baciarsi o assumere pose irrispettose per le foto. Per evitare attese di diverse ore per lo scatto alla porta, l'ideale è arrivare all'alba (intorno alle 5:30-6:00 del mattino), quando l'aria è fresca e la luce del mattino illumina il vulcano prima che si formino le nuvole. "
